CollegeName,Location,Course,Category,Rank,MerirMarks
Sigma Institute Of Engineering, Bakrol,COMPUTER ENGINEERING,Open,34505,2.59854144
Sigma Institute Of Engineering, Bakrol,COMPUTER ENGINEERING,SC,36000,0
Sigma Institute Of Engineering, Bakrol,COMPUTER ENGINEERING,SEBC,36000,0
Sigma Institute Of Engineering, Bakrol,COMPUTER ENGINEERING,TFW,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRICAL ENGINEERING,DS,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRICAL ENGINEERING,EVS,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRICAL ENGINEERING,EWS,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRICAL ENGINEERING,Open,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRICAL ENGINEERING,SC,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRICAL ENGINEERING,SEBC,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRICAL ENGINEERING,TFW,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRONICS & COMMUNICATION ENGINEERING,DS,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRONICS & COMMUNICATION ENGINEERING,EVS,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRONICS & COMMUNICATION ENGINEERING,EWS,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRONICS & COMMUNICATION ENGINEERING,Open,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRONICS & COMMUNICATION ENGINEERING,SC,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRONICS & COMMUNICATION ENGINEERING,SEBC,36000,0
Sigma Institute Of Engineering, Bakrol,ELECTRONICS & COMMUNICATION ENGINEERING,TFW,36000,0
Sigma Institute Of Engineering, Bakrol,INFORMATION TECHNOLOGY,DS,36000,0
Sigma Institute Of Engineering, Bakrol,INFORMATION TECHNOLOGY,EVS,36000,0
Sigma Institute Of Engineering, Bakrol,INFORMATION TECHNOLOGY,EWS,36000,0
Sigma Institute Of Engineering, Bakrol,INFORMATION TECHNOLOGY,Open,34287,5.18332351
Sigma Institute Of Engineering, Bakrol,INFORMATION TECHNOLOGY,SC,36000,0
Sigma Institute Of Engineering, Bakrol,INFORMATION TECHNOLOGY,SEBC,36000,0
Sigma Institute Of Engineering, Bakrol,INFORMATION TECHNOLOGY,TFW,36000,0
Sigma Institute Of Engineering, Bakrol,MECHANICAL ENGINEERING,DS,36000,0
Sigma Institute Of Engineering, Bakrol,MECHANICAL ENGINEERING,EVS,36000,0
Sigma Institute Of Engineering, Bakrol,MECHANICAL ENGINEERING,EWS,36000,0
Sigma Institute Of Engineering, Bakrol,MECHANICAL ENGINEERING,Open,36000,0
Sigma Institute Of Engineering, Bakrol,MECHANICAL ENGINEERING,SC,36000,0
Sigma Institute Of Engineering, Bakrol,MECHANICAL ENGINEERING,SEBC,36000,0
Sigma Institute Of Engineering, Bakrol,MECHANICAL ENGINEERING,TFW,36000,0
Silver Oak College Of Engineering & Technology,AMHEDABAD,AERONAUTICAL ENGINEERING,DS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,AERONAUTICAL ENGINEERING,EVS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,AERONAUTICAL ENGINEERING,EWS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,AERONAUTICAL ENGINEERING,Open,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,AERONAUTICAL ENGINEERING,SC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,AERONAUTICAL ENGINEERING,SEBC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,AERONAUTICAL ENGINEERING,TFW,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,CIVIL ENGINEERING,DS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,CIVIL ENGINEERING,EVS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,CIVIL ENGINEERING,EWS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,CIVIL ENGINEERING,Open,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,CIVIL ENGINEERING,SC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,CIVIL ENGINEERING,SEBC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,CIVIL ENGINEERING,TFW,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING,DS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING,EVS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING,EWS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING,Open,34584,0.19579738
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING,SC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING,SEBC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING,TFW,7546,80.54927948
